policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,fraud_reported
IL,500/1000,FEMALE,High School,prof-specialty,basketball,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,9358 Texas Ridge,3,NO,1,2,YES,Toyota,Camry,N
IL,250/500,FEMALE,MD,other-service,hiking,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,8080 Oak Lane,3,NO,0,2,YES,BMW,X5,N
OH,100/300,MALE,Masters,machine-op-inspct,camping,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,6408 Weaver Ridge,1,YES,0,1,NO,Mercedes,E400,N
IL,500/1000,MALE,Masters,transport-moving,video-games,wife,Vehicle Theft,Rear Collision,Trivial Damage,None,SC,Northbrook,5532 Weaver Ridge,1,NO,2,3,NO,Suburu,Forrestor,N
IN,250/500,MALE,PhD,machine-op-inspct,video-games,own-child,Parked Car,Front Collision,Minor Damage,None,SC,Northbend,9101 2nd Hwy,1,NO,2,1,YES,Chevrolet,Silverado,N
IN,250/500,MALE,MD,exec-managerial,yachting,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Springfield,8576 Andromedia St,1,NO,2,3,NO,Accura,MDX,Y
IL,500/1000,FEMALE,JD,farming-fishing,video-games,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Springfield,6315 2nd Lane,3,NO,0,3,YES,Accura,MDX,N
OH,100/300,FEMALE,Associate,exec-managerial,cross-fit,wife,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,1536 Flute Drive,1,YES,2,1,NO,Accura,TL,Y
IL,500/1000,MALE,Masters,tech-support,polo,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,4672 MLK St,3,NO,2,0,NO,BMW,X6,Y
OH,100/300,FEMALE,MD,other-service,golf,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,2204 Washington Lane,1,NO,1,1,NO,Nissan,Pathfinder,N
IL,100/300,MALE,PhD,adm-clerical,reading,not-in-family,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,1,NO,2,3,NO,Volkswagen,Jetta,Y
OH,250/500,FEMALE,JD,craft-repair,skydiving,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,5431 3rd Ridge,1,NO,1,0,YES,Suburu,Impreza,Y
OH,100/300,FEMALE,PhD,farming-fishing,base-jumping,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,7121 Britain Drive,1,NO,1,0,NO,Audi,A3,N
IL,100/300,MALE,Masters,priv-house-serv,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,8586 1st Ridge,3,YES,2,1,NO,Mercedes,C300,N
IN,250/500,MALE,High School,exec-managerial,kayaking,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,7582 Pine Drive,3,YES,1,3,YES,Volkswagen,Jetta,Y
OH,100/300,FEMALE,Masters,craft-repair,paintball,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,1388 Embaracadero Hwy,3,NO,2,3,NO,Suburu,Forrestor,N
OH,100/300,FEMALE,Masters,other-service,reading,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Northbrook,5621 4th Ave,3,NO,1,3,NO,Saab,93,Y
OH,100/300,MALE,Associate,sales,bungie-jumping,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,8150 Washington Ridge,1,YES,2,3,NO,Audi,A5,Y
OH,100/300,MALE,JD,exec-managerial,exercise,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,4268 2nd Ave,3,NO,2,1,YES,Jeep,Wrangler,N
IN,250/500,FEMALE,JD,prof-specialty,hiking,other-relative,Parked Car,Rear Collision,Minor Damage,None,WV,Northbend,6375 2nd Lane,1,NO,2,3,NO,Saab,92x,N
IN,100/300,MALE,Masters,machine-op-inspct,movies,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3770 Flute Drive,3,NO,2,0,NO,Suburu,Legacy,N
OH,100/300,FEMALE,JD,transport-moving,video-games,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Columbus,1562 Britain St,1,NO,2,0,NO,Honda,Accord,N
IN,500/1000,FEMALE,Associate,priv-house-serv,reading,unmarried,Parked Car,Rear Collision,Minor Damage,Police,VA,Springfield,1681 Cherokee Hwy,1,YES,2,3,NO,Mercedes,E400,N
IN,500/1000,FEMALE,MD,farming-fishing,dancing,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,7523 Oak Lane,1,NO,2,0,NO,Chevrolet,Silverado,N
OH,500/1000,FEMALE,MD,exec-managerial,polo,unmarried,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,2,NO,2,1,YES,Volkswagen,Passat,N
OH,500/1000,FEMALE,Masters,prof-specialty,sleeping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,9316 Pine Ave,1,YES,2,0,NO,Dodge,Neon,Y
IL,250/500,FEMALE,Masters,prof-specialty,polo,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,2733 Texas Drive,3,NO,2,0,YES,Mercedes,E400,N
IN,500/1000,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,7684 Francis Ridge,3,NO,2,2,YES,Suburu,Legacy,N
OH,250/500,FEMALE,Associate,craft-repair,board-games,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,8991 Embaracadero Ave,1,NO,2,1,YES,Audi,A5,Y
IL,500/1000,MALE,High School,farming-fishing,yachting,unmarried,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,4905 Francis Ave,3,NO,0,0,NO,Saab,95,N
IL,250/500,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,Parked Car,Rear Collision,Trivial Damage,Police,SC,Hillsdale,7783 Lincoln Hwy,1,NO,0,1,NO,Toyota,Highlander,N
IN,250/500,MALE,High School,other-service,movies,not-in-family,Parked Car,Rear Collision,Minor Damage,None,NY,Hillsdale,8749 Tree St,1,NO,1,0,NO,Jeep,Wrangler,N
IL,250/500,MALE,Associate,armed-forces,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,4985 Sky Lane,3,YES,0,0,NO,Jeep,Wrangler,N
OH,250/500,MALE,High School,machine-op-inspct,hiking,husband,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,7534 MLK Hwy,1,NO,0,1,YES,Volkswagen,Jetta,Y
IL,250/500,MALE,College,protective-serv,board-games,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,8689 Maple Hwy,3,YES,1,0,YES,Dodge,Neon,N
IN,250/500,FEMALE,MD,transport-moving,kayaking,wife,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Hillsdale,9153 3rd Hwy,3,NO,0,2,YES,Volkswagen,Jetta,N
IL,100/300,FEMALE,PhD,farming-fishing,kayaking,unmarried,Vehicle Theft,Rear Collision,Trivial Damage,None,WV,Riverwood,5904 1st Drive,1,NO,0,1,NO,Ford,Fusion,N
IN,100/300,MALE,MD,tech-support,board-games,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,4519 Embaracadero St,1,NO,1,0,YES,Jeep,Wrangler,N
IN,100/300,MALE,Masters,protective-serv,dancing,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,9706 MLK Lane,1,NO,1,1,YES,Honda,Civic,N
IL,250/500,FEMALE,PhD,prof-specialty,kayaking,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Columbus,6012 Texas Hwy,1,YES,0,1,NO,Volkswagen,Jetta,N
IN,500/1000,FEMALE,Masters,armed-forces,skydiving,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,1,YES,0,1,NO,Chevrolet,Malibu,N
IL,100/300,MALE,MD,tech-support,exercise,wife,Vehicle Theft,Rear Collision,Trivial Damage,None,NY,Hillsdale,6193 1st Hwy,1,NO,2,1,NO,Chevrolet,Silverado,N
OH,500/1000,MALE,Associate,handlers-cleaners,basketball,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,3,NO,2,0,YES,Audi,A3,N
IL,500/1000,FEMALE,Masters,adm-clerical,reading,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,8964 Francis St,1,YES,2,3,NO,Dodge,Neon,N
IN,250/500,FEMALE,Masters,tech-support,exercise,husband,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,9748 Sky Drive,1,YES,2,3,NO,Accura,RSX,N
OH,100/300,MALE,JD,tech-support,cross-fit,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,1,NO,1,1,YES,Chevrolet,Malibu,Y
OH,100/300,MALE,Masters,craft-repair,sleeping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,3656 Solo Ave,1,NO,0,2,NO,Mercedes,C300,N
OH,500/1000,MALE,JD,tech-support,cross-fit,husband,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbend,8579 Apache Drive,1,YES,2,3,NO,Mercedes,C300,Y
IL,100/300,FEMALE,JD,tech-support,bungie-jumping,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,2003 Maple Hwy,3,NO,1,1,NO,Audi,A3,N
IN,250/500,FEMALE,JD,protective-serv,exercise,other-relative,Vehicle Theft,Front Collision,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,1,YES,1,3,YES,Chevrolet,Tahoe,N
IN,100/300,FEMALE,High School,tech-support,hiking,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,9730 2nd Hwy,3,NO,1,0,NO,Honda,Civic,Y
OH,500/1000,FEMALE,High School,adm-clerical,polo,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,7819 Oak St,1,NO,0,2,YES,Honda,CRV,N
OH,250/500,MALE,Associate,tech-support,movies,own-child,Parked Car,Rear Collision,Minor Damage,None,SC,Riverwood,1845 Best St,1,YES,0,1,YES,Volkswagen,Passat,N
IN,250/500,MALE,JD,farming-fishing,hiking,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,2500 Tree St,1,NO,1,2,NO,Nissan,Maxima,N
OH,100/300,FEMALE,MD,handlers-cleaners,basketball,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,6955 Pine Drive,1,NO,0,3,NO,Mercedes,C300,N
OH,500/1000,MALE,High School,other-service,hiking,husband,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Hillsdale,6165 Rock Ridge,1,YES,1,1,YES,Nissan,Maxima,N
IL,250/500,MALE,MD,farming-fishing,basketball,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,3653 Elm Drive,3,NO,0,1,YES,Chevrolet,Tahoe,N
IL,500/1000,MALE,High School,handlers-cleaners,bungie-jumping,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,5812 3rd Hwy,2,YES,2,3,NO,Saab,95,N
IN,250/500,MALE,MD,armed-forces,skydiving,own-child,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Springfield,4939 Best St,1,NO,1,1,NO,Jeep,Grand Cherokee,Y
OH,250/500,FEMALE,MD,adm-clerical,camping,not-in-family,Parked Car,Rear Collision,Trivial Damage,None,WV,Arlington,4964 Elm Lane,1,YES,0,3,NO,Accura,MDX,N
IL,250/500,MALE,Masters,armed-forces,bungie-jumping,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,9588 Solo St,1,YES,2,1,NO,Honda,Civic,N
OH,100/300,FEMALE,College,sales,paintball,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,SC,Arlington,8718 Apache Lane,1,NO,1,1,NO,BMW,3 Series,N
IL,250/500,MALE,PhD,craft-repair,golf,not-in-family,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,1,NO,2,1,YES,Suburu,Impreza,N
OH,250/500,MALE,PhD,transport-moving,base-jumping,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,1,NO,2,0,YES,Suburu,Legacy,N
IN,250/500,FEMALE,High School,protective-serv,board-games,unmarried,Parked Car,Front Collision,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,1,NO,0,2,NO,Chevrolet,Malibu,N
IL,100/300,MALE,PhD,machine-op-inspct,paintball,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,3,YES,0,3,NO,Chevrolet,Tahoe,N
IL,250/500,MALE,JD,sales,kayaking,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,5994 5th Ave,3,NO,1,2,NO,Saab,93,N
OH,500/1000,FEMALE,Masters,tech-support,exercise,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,9138 3rd St,1,NO,2,1,NO,BMW,M5,N
OH,100/300,FEMALE,College,sales,chess,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,1,NO,1,0,NO,Ford,F150,Y
OH,500/1000,MALE,Masters,handlers-cleaners,golf,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,7644 Tree Ridge,3,NO,0,3,YES,Audi,A3,N
IN,250/500,MALE,JD,adm-clerical,hiking,husband,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,4,NO,2,3,NO,Mercedes,C300,N
IN,250/500,MALE,Associate,sales,reading,not-in-family,Parked Car,Front Collision,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,1,NO,0,1,NO,Suburu,Legacy,N
OH,250/500,FEMALE,High School,handlers-cleaners,movies,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,Hillsdale,8621 Best Ridge,1,NO,2,0,NO,Toyota,Corolla,N
IN,500/1000,MALE,High School,priv-house-serv,skydiving,not-in-family,Vehicle Theft,Rear Collision,Trivial Damage,None,OH,Columbus,3878 Tree Lane,1,NO,1,2,NO,Dodge,RAM,N
OH,100/300,MALE,High School,sales,yachting,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,3,YES,2,3,YES,Volkswagen,Passat,N
OH,500/1000,FEMALE,MD,prof-specialty,reading,wife,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,3,NO,1,0,NO,Dodge,Neon,Y
IN,100/300,FEMALE,JD,exec-managerial,cross-fit,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,3414 Elm Ave,1,YES,1,3,NO,Suburu,Legacy,Y
OH,100/300,MALE,PhD,craft-repair,bungie-jumping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,3,NO,1,2,YES,Audi,A3,Y
IL,100/300,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,1,NO,2,2,NO,Audi,A5,N
OH,250/500,MALE,Masters,transport-moving,yachting,not-in-family,Vehicle Theft,Front Collision,Trivial Damage,None,NC,Springfield,9742 5th Ridge,1,NO,2,1,NO,BMW,X5,N
IL,500/1000,FEMALE,MD,prof-specialty,exercise,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,8782 3rd St,1,NO,2,3,NO,Saab,92x,Y
OH,100/300,MALE,College,priv-house-serv,camping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,3,NO,1,0,NO,BMW,X6,N
OH,250/500,MALE,College,farming-fishing,base-jumping,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,5483 Francis Drive,1,YES,1,2,YES,Honda,Civic,Y
OH,250/500,FEMALE,College,other-service,exercise,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,1,NO,2,2,NO,Jeep,Grand Cherokee,N
IL,500/1000,FEMALE,High School,sales,yachting,husband,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,1,YES,0,0,NO,Chevrolet,Silverado,N
IL,250/500,MALE,Associate,sales,board-games,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,3,NO,1,1,NO,Mercedes,E400,N
IN,100/300,FEMALE,Associate,tech-support,kayaking,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,3,NO,0,3,YES,Accura,MDX,N
IN,500/1000,MALE,Masters,exec-managerial,basketball,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,1,YES,0,1,YES,Jeep,Wrangler,N
IL,250/500,FEMALE,High School,other-service,paintball,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,YES,2,0,NO,Accura,RSX,N
IL,500/1000,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,1,NO,0,2,NO,Toyota,Corolla,Y
IL,100/300,FEMALE,MD,craft-repair,kayaking,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,3,YES,1,3,NO,Saab,93,N
IL,250/500,FEMALE,MD,farming-fishing,dancing,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,1,NO,0,3,NO,Accura,MDX,N
OH,100/300,FEMALE,High School,machine-op-inspct,base-jumping,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,1,NO,0,2,YES,Honda,CRV,N
OH,500/1000,MALE,JD,prof-specialty,dancing,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,1,NO,2,3,YES,Volkswagen,Passat,N
IN,250/500,FEMALE,Masters,machine-op-inspct,exercise,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,4,NO,2,1,YES,Toyota,Highlander,N
IL,100/300,MALE,MD,handlers-cleaners,paintball,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,3,NO,2,0,NO,Nissan,Pathfinder,N
IN,100/300,MALE,JD,farming-fishing,polo,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,3,NO,0,2,YES,Audi,A5,Y
IN,100/300,MALE,Masters,transport-moving,kayaking,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,3,NO,1,0,NO,Nissan,Ultima,N
IN,100/300,MALE,JD,craft-repair,golf,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,1,YES,1,1,NO,Dodge,RAM,N
IL,500/1000,MALE,MD,sales,cross-fit,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,3,NO,2,3,NO,Audi,A3,Y
OH,500/1000,FEMALE,Associate,farming-fishing,reading,own-child,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,1,NO,1,1,NO,Saab,92x,N
IN,500/1000,FEMALE,Masters,farming-fishing,dancing,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,1,YES,1,1,NO,Suburu,Legacy,N
IL,250/500,FEMALE,MD,armed-forces,cross-fit,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,1,NO,0,0,YES,Saab,92x,N
IL,100/300,FEMALE,College,adm-clerical,skydiving,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,1,YES,2,0,NO,Chevrolet,Silverado,Y
OH,500/1000,FEMALE,JD,exec-managerial,camping,other-relative,Parked Car,Front Collision,Trivial Damage,None,SC,Hillsdale,8404 Embaracadero St,1,NO,2,1,YES,Nissan,Ultima,N
IL,100/300,FEMALE,College,tech-support,paintball,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,3,NO,2,2,NO,Dodge,RAM,N
OH,250/500,MALE,Associate,armed-forces,board-games,other-relative,Vehicle Theft,Front Collision,Trivial Damage,None,PA,Springfield,6359 MLK Ridge,1,YES,1,2,NO,Mercedes,E400,N
IN,500/1000,FEMALE,Associate,tech-support,golf,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,1,YES,0,3,YES,Dodge,RAM,Y
IL,250/500,FEMALE,JD,machine-op-inspct,golf,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,1,YES,0,2,YES,Saab,92x,N
OH,100/300,FEMALE,JD,other-service,chess,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,3,NO,0,1,NO,Chevrolet,Tahoe,Y
IL,250/500,MALE,Masters,machine-op-inspct,golf,other-relative,Parked Car,Rear Collision,Minor Damage,None,SC,Hillsdale,6067 Weaver Ridge,1,YES,0,3,NO,Mercedes,E400,N
IN,250/500,FEMALE,High School,armed-forces,paintball,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,1,NO,1,3,YES,Chevrolet,Malibu,N
OH,250/500,FEMALE,Associate,transport-moving,yachting,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,2,YES,0,1,NO,Suburu,Forrestor,Y
OH,250/500,MALE,MD,sales,yachting,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,3,NO,1,2,NO,Ford,F150,Y
OH,100/300,FEMALE,High School,transport-moving,bungie-jumping,husband,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,1,YES,1,1,NO,Saab,95,N
OH,250/500,MALE,PhD,transport-moving,movies,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,1,NO,2,3,NO,Nissan,Maxima,Y
OH,500/1000,FEMALE,JD,tech-support,base-jumping,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,3,NO,2,2,NO,Chevrolet,Tahoe,Y
IL,100/300,FEMALE,High School,farming-fishing,golf,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,3,NO,0,1,NO,Dodge,RAM,N
IL,250/500,MALE,Associate,craft-repair,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,3,YES,1,0,YES,Accura,TL,N
OH,500/1000,MALE,Associate,machine-op-inspct,cross-fit,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,1,YES,0,1,NO,Mercedes,C300,Y
IL,100/300,FEMALE,MD,sales,base-jumping,husband,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Springfield,6259 Weaver St,1,YES,1,3,YES,Toyota,Camry,N
OH,250/500,FEMALE,PhD,exec-managerial,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,3,NO,0,2,YES,Suburu,Impreza,Y
OH,250/500,FEMALE,Masters,priv-house-serv,skydiving,other-relative,Parked Car,Rear Collision,Trivial Damage,None,SC,Riverwood,7828 Cherokee Ave,1,NO,0,1,NO,Dodge,Neon,N
IL,100/300,MALE,PhD,other-service,reading,husband,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,1,NO,2,0,NO,Ford,Fusion,Y
OH,250/500,MALE,College,machine-op-inspct,golf,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,3,NO,0,1,NO,Volkswagen,Passat,Y
IN,500/1000,MALE,Masters,armed-forces,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,3,NO,1,1,NO,Dodge,RAM,N
IL,500/1000,FEMALE,MD,protective-serv,kayaking,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,1,NO,1,0,YES,Volkswagen,Passat,N
IL,250/500,FEMALE,High School,craft-repair,movies,own-child,Vehicle Theft,Rear Collision,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,1,NO,1,0,NO,Audi,A5,N
IL,250/500,MALE,JD,machine-op-inspct,hiking,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,3,NO,2,2,NO,Toyota,Camry,Y
IN,500/1000,FEMALE,JD,handlers-cleaners,video-games,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,3,NO,0,0,NO,BMW,X5,N
OH,100/300,MALE,Associate,protective-serv,reading,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,3,YES,0,3,NO,Nissan,Pathfinder,N
IN,100/300,FEMALE,Associate,machine-op-inspct,camping,wife,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,3,YES,2,3,YES,Chevrolet,Tahoe,N
OH,250/500,MALE,College,handlers-cleaners,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,3,NO,2,0,YES,Toyota,Highlander,N
IL,100/300,FEMALE,Associate,other-service,camping,wife,Parked Car,Rear Collision,Minor Damage,None,NY,Hillsdale,1365 Francis Ave,1,NO,0,0,NO,Audi,A3,N
IL,100/300,MALE,MD,craft-repair,paintball,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,4,YES,2,0,NO,Jeep,Grand Cherokee,Y
OH,100/300,FEMALE,JD,armed-forces,skydiving,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,3,NO,1,0,NO,Nissan,Ultima,N
IL,500/1000,FEMALE,Masters,other-service,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,3,NO,0,2,NO,Ford,Fusion,N
